IngredientID,IngredientName,Category,VegNonVeg,Calories_100g,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Guna,DoshaEffect
ING001,Basmati Rice,Grain,Veg,130,2.7,28.0,0.3,"Sweet",Cooling,"Heavy, Soft","V- P- K+"
ING002,Whole Wheat Flour (Atta),Flour,Veg,340,13.2,72.0,2.5,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING003,Moong Dal (Split Yellow),Legume,Veg,347,24.0,63.0,1.2,"Sweet, Astringent",Cooling,"Light, Dry","V- P- K-"
ING004,Toor Dal (Arhar),Legume,Veg,343,22.0,63.0,1.5,"Sweet, Astringent",Heating,"Light, Dry","V+ P- K-"
ING005,Ghee (Clarified Butter),Dairy/Fat,Veg,900,0.0,0.0,99.5,"Sweet",Cooling,"Oily, Heavy","V- P- K0"
ING006,Turmeric (Haldi),Spice,Veg,354,8.0,65.0,10.0,"Pungent, Bitter, Astringent",Heating,"Light, Dry","V- P- K-"
ING007,Cumin Seeds (Jeera),Spice,Veg,375,18.0,44.0,22.0,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING008,Coriander Powder (Dhania),Spice,Veg,298,12.0,55.0,18.0,"Pungent, Bitter",Cooling,"Light, Oily","V- P- K-"
ING009,Onion,Vegetable,Veg,40,1.1,9.3,0.1,"Pungent, Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING010,Tomato,Vegetable,Veg,18,0.9,3.9,0.2,"Sour, Sweet",Heating,"Light, Oily","V- P+ K+"
ING011,Potato,Vegetable,Veg,77,2.0,17.0,0.1,"Sweet, Astringent",Cooling,"Heavy, Dry","V+ P0 K-"
ING012,Ginger (Adrak),Spice,Veg,80,1.8,18.0,0.8,"Pungent, Sweet",Heating,"Light, Oily","V- P0 K-"
ING013,Garlic (Lehsun),Spice,Veg,149,6.4,33.0,0.5,"Pungent, Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING014,Spinach (Palak),Vegetable,Veg,23,2.9,3.6,0.4,"Astringent, Sweet",Cooling,"Light, Moist","V+ P- K0"
ING015,Chicken Breast,Poultry,Non-Veg,165,31.0,0.0,3.6,"Sweet",Heating,"Heavy, Dry","V- P0 K+"
ING016,Paneer (Indian Cottage Cheese),Dairy,Veg,265,18.0,1.2,21.0,"Sweet",Cooling,"Heavy, Oily","V0 P- K+"
ING017,Yogurt (Dahi),Dairy,Veg,61,3.5,4.7,3.3,"Sour, Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING018,Milk (Cow),Dairy,Veg,42,3.4,5.0,1.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING019,Sugar (White),Sweetener,Veg,387,0.0,100.0,0.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING020,Jaggery (Gur),Sweetener,Veg,383,0.4,98.0,0.1,"Sweet",Heating,"Heavy, Moist","V- P+ K0"
ING021,Mustard Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Pungent",Heating,"Sharp, Oily","V- P+ K-"
ING022,Coconut Oil,Oil/Fat,Veg,862,0.0,0.0,100.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING023,Besan (Gram Flour),Flour,Veg,387,22.0,58.0,7.0,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING024,Chickpeas (White),Legume,Veg,364,19.0,61.0,6.0,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING025,Kidney Beans (Rajma),Legume,Veg,333,24.0,60.0,0.8,"Sweet",Cooling,"Heavy, Dry","V+ P0 K+"
ING026,Masoor Dal (Red Lentil),Legume,Veg,353,26.0,60.0,1.0,"Sweet, Astringent",Heating,"Light, Dry","V0 P+ K0"
ING027,Urad Dal (Split Black Gram),Legume,Veg,341,25.0,59.0,1.6,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING028,Cauliflower,Vegetable,Veg,25,1.9,5.0,0.3,"Astringent, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING029,Cabbage,Vegetable,Veg,25,1.3,6.0,0.1,"Astringent, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING030,Carrot,Vegetable,Veg,41,0.9,10.0,0.2,"Sweet, Bitter",Heating,"Light, Dry","V- P- K-"
ING031,Cucumber,Vegetable,Veg,15,0.7,3.6,0.1,"Sweet",Cooling,"Heavy, Moist","V+ P- K+"
ING032,Lemon,Fruit,Veg,29,1.1,9.0,0.3,"Sour",Heating,"Light, Dry","V- P+ K0"
ING033,Cilantro (Coriander Leaves),Herb,Veg,23,2.1,3.7,0.5,"Pungent, Bitter",Cooling,"Light, Dry","V- P- K-"
ING034,Mint (Pudina),Herb,Veg,44,3.8,8.4,0.7,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING035,Green Chili,Spice,Veg,40,1.9,8.8,0.4,"Pungent",Heating,"Sharp, Light","V+ P+ K-"
ING036,Red Chili Powder,Spice,Veg,282,13.0,50.0,14.0,"Pungent",Heating,"Sharp, Light","V+ P+ K-"
